executive_feature,importance
Clinical Acuity,0.30084863560600594
Patient Segment,0.25702155706681673
Age,0.07814919059708818
Employment,0.07595838342597182
Flow Pressure,0.07107305055854037
Previous Disposition,0.06737211635008736
Insurance,0.057289124185426706
Arrival Mode,0.04798874554491242
Race,0.012119723764918173
Vitals Documentation,0.0083538541520089
Arrival Month,0.0061134555190303355
Arrival Time,0.004822045298520962
Arrival Day,0.004670357688854301
Ethnicity,0.0037863059633958204
Gender,0.003120418292414546
Language,0.0013130359860075574
