feature,importance
categorical__cluster_name_Complex Elderly Admissions,0.39422137
categorical__cluster_name_Community Ambulatory Care,0.14548744
numerical__clinical_acuity,0.11944566
categorical__previousdispo_Admit,0.03267653
categorical__employstatus_Retired,0.030723985
categorical__insurance_status_Other,0.024054755
categorical__insurance_status_Self pay,0.024032202
categorical__previousdispo_Discharge,0.021847734
categorical__cluster_name_Acute Ambulance Pathways,0.01586005
categorical__cluster_name_Moderate Complexity Care,0.012688581
categorical__arrivalmode_ambulance,0.012617641
numerical__age,0.012217416
categorical__employstatus_Disabled,0.008181202
numerical__flow_pressure_z,0.0071958452
categorical__insurance_status_Medicaid,0.007160835
numerical__vitals_documented,0.0062510273
categorical__arrivalmode_Car,0.0062030028
categorical__race_White or Caucasian,0.0052228062
categorical__insurance_status_Medicare,0.0048489342
categorical__employstatus_Full Time,0.0037695167
categorical__gender_Male,0.0037674555
categorical__previousdispo_Transfer to Another Facility,0.0036257126
categorical__previousdispo_No previous dispo,0.0035926814
categorical__employstatus_Not Employed,0.003238255
categorical__arrivalhour_bin_23-02,0.0032221586
categorical__employstatus_Student - Full Time,0.0031745094
categorical__gender_Female,0.0026669363
categorical__arrivalhour_bin_07-10,0.0026197364
categorical__employstatus_Part Time,0.0025530097
categorical__arrivalmode_Walk-in,0.0025248881
categorical__employstatus_Unknown,0.0024585135
categorical__arrivalmode_Other,0.0024024583
categorical__ethnicity_Non-Hispanic,0.002372504
categorical__previousdispo_AMA,0.0021103274
categorical__arrivalday_Saturday,0.0020635778
categorical__insurance_status_Commercial,0.0020523267
categorical__previousdispo_Eloped,0.0019424541
categorical__race_Black or African American,0.001822339
categorical__race_Unknown,0.0017926572
categorical__employstatus_On Active Military Duty,0.0017918724
categorical__arrivalhour_bin_19-22,0.0017294931
categorical__lang_English,0.0016459278
categorical__previousdispo_Send to L&D,0.001639672
categorical__arrivalhour_bin_15-18,0.001632556
categorical__lang_Other,0.0016121787
categorical__arrivalhour_bin_03-06,0.0016022007
categorical__arrivalday_Sunday,0.0015689927
categorical__race_Other,0.0014958413
categorical__ethnicity_Unknown,0.0014804569
categorical__arrivalhour_bin_11-14,0.0014802206
categorical__previousdispo_LWBS after Triage,0.0014760826
categorical__race_Asian,0.001428461
categorical__race_Native Hawaiian or Other Pacific Islander,0.0013839605
categorical__arrivalmonth_December,0.0013574719
categorical__arrivalmode_Police,0.0013569853
categorical__arrivalday_Monday,0.0013243327
categorical__arrivalmode_Wheelchair,0.0013030829
categorical__arrivalmode_Public Transportation,0.0013014489
categorical__race_American Indian or Alaska Native,0.0012974606
categorical__arrivalmonth_March,0.0012872546
categorical__arrivalmonth_August,0.0012841
categorical__ethnicity_Hispanic or Latino,0.0012426993
categorical__arrivalday_Tuesday,0.0012425844
categorical__arrivalmonth_July,0.0012394674
categorical__arrivalday_Wednesday,0.0012261554
categorical__arrivalday_Thursday,0.0012210734
categorical__arrivalmonth_February,0.0012184711
categorical__arrivalmonth_June,0.0012100575
categorical__arrivalmonth_September,0.0012088068
categorical__ethnicity_Patient Refused,0.001200949
categorical__arrivalmonth_January,0.0011792076
categorical__arrivalmonth_October,0.0011695612
categorical__employstatus_Self Employed,0.0011425512
categorical__arrivalmonth_May,0.0011345495
categorical__arrivalday_Friday,0.0011145562
categorical__previousdispo_Observation,0.0010998426
categorical__employstatus_Student - Part Time,0.0010641814
categorical__previousdispo_LWBS before Triage,0.0010617765
categorical__arrivalmonth_November,0.0010126474
categorical__arrivalmonth_April,0.0009617091
categorical__race_Patient Refused,0.000860142
